frame_index,human_index,img_x,img_y,world_X,world_Y,world_Z
0,0,636.3188,587.53503,3.784063287453324,10.586178026547723,0.0
0,1,515.0024,425.9398,2.67572026476293,2.489896616766252,0.0
1,0,636.6794,587.1888,3.7882178418718526,10.575898369172963,0.0
1,1,515.1854,425.92715,2.6784617768866146,2.488611854020263,4.440892098500626e-16
2,0,637.03973,586.8468,3.792366347355562,10.565727300891258,0.0
2,2,518.6895,426.5027,2.7311126831747066,2.5339134932792398,-4.440892098500626e-16
3,0,637.6647,585.6883,3.801116791655251,10.531150603180429,-4.440892098500626e-16
3,2,519.24646,426.31393,2.7394428662112786,2.5171946714679123,4.440892098500626e-16
4,0,638.8484,584.13116,3.8160682722670236,10.484329843051182,0.0
4,1,517.16174,426.17227,2.708167632705876,2.5073937589072273,-4.440892098500626e-16
5,0,639.6856,581.8405,3.8300711631038835,10.414778688705562,0.0
5,1,518.9793,426.3863,2.735443716091701,2.5236663034463263,0.0
6,0,640.4084,579.6114,3.843021596211505,10.346282458608169,0.0
6,2,522.3519,426.57968,2.785983598924051,2.536447801416461,0.0
7,0,640.64777,577.9743,3.8499539459938945,10.29547157021355,0.0
7,1,523.29645,426.60855,2.8001352624625095,2.5378700858383745,0.0
8,0,640.56445,576.3196,3.8540214149989085,10.243679189056325,0.0
8,1,527.0125,426.80148,2.8557767394602744,2.550224172764196,0.0
9,0,639.6341,574.53455,3.85065770144091,10.187345546213106,0.0
9,2,527.30383,427.08612,2.8600125561049006,2.5741152225890893,0.0
10,0,638.09424,571.39886,3.845554410594062,10.087084679678673,-4.440892098500626e-16
10,2,530.3459,427.34644,2.905408835674593,2.5928892816587883,-4.440892098500626e-16
11,0,635.9189,569.3476,3.831193413217318,10.02067457772671,4.440892098500626e-16
11,3,538.53174,426.48126,3.0291059122888906,2.5101904823920975,0.0
12,0,632.66504,569.6071,3.7998900819206076,10.029381923835963,0.0
12,3,538.59937,426.71268,3.0298446451130916,2.5299009995654522,0.0
13,1,556.3582,469.9357,3.21095432149947,5.6235381092423395,0.0
13,3,538.3495,426.55865,3.026269417384235,2.51701340965376,0.0
14,1,576.50476,500.02063,3.395857972019812,7.255481970884031,0.0
14,3,538.123,426.5373,3.0228855436447217,2.515436657295986,0.0
15,0,630.22034,568.1393,3.78104178107046,9.98156978223003,0.0
15,2,532.8926,427.1268,2.9437225493965435,2.5714581782438835,4.440892098500626e-16
16,0,627.8083,566.9193,3.7616754289719525,9.941585295295809,0.0
16,2,534.8044,426.94205,2.9725687456795704,2.5536410746968308,0.0
17,0,625.0416,565.6811,3.738876525899424,9.900773342764193,4.440892098500626e-16
17,2,536.37384,426.93683,2.996140201406556,2.5514726400356693,4.440892098500626e-16
18,0,622.58923,564.9036,3.717698350174526,9.875078560414595,-4.440892098500626e-16
18,1,565.44183,478.2374,3.3093450858954676,6.106470093192055,0.0
19,0,619.35077,564.34344,3.6884058000985256,9.856636786912418,0.0
19,1,557.72314,462.9543,3.2408152765532092,5.18881915904397,0.0
20,0,616.3278,564.785,3.658593393340773,9.871672634059314,0.0
20,1,552.12354,452.1424,3.185527879980152,4.473876256612101,0.0
21,0,612.5848,565.7298,3.620853974622891,9.903466940039477,0.0
